Codigo | Nombre | Path | Padre | Fecha | Raiz
071.PD019 - Drilling 36in hole section, run and cementing 30in conductor-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD019 - Drilling 36in hole section, run and cementing 30in conductor-nc.pdf | Drilling 071 PDF Uncontrolled | 10-07-2013 | Drilling 071 PDF Uncontrolled
071.PD020 - Drilling connection with pup joint-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD020 - Drilling connection with pup joint-nc.pdf | Drilling 071 PDF Uncontrolled | 10-07-2013 | Drilling 071 PDF Uncontrolled
071.PD021 - Drilling the 42 in. hole section, Run and cementing the 36 in. Conductor-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD021 - Drilling the 42 in. hole section, Run and cementing the 36 in. Conductor-nc.pdf | Drilling 071 PDF Uncontrolled | 10-07-2013 | Drilling 071 PDF Uncontrolled
071.PD022 - Emergency Disconnect of LMRP (Rev.01 06-Dic-10)-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD022 - Emergency Disconnect of LMRP (Rev.01 06-Dic-10)-nc.pdf | Drilling 071 PDF Uncontrolled | 10-07-2013 | Drilling 071 PDF Uncontrolled
071.PD023 - Fill trip tanks-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD023 - Fill trip tanks-nc.pdf | Drilling 071 PDF Uncontrolled | 10-07-2013 | Drilling 071 PDF Uncontrolled
071.PD024 - Flushing chokes and kill lines-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD024 - Flushing chokes and kill lines-nc.pdf | Drilling 071 PDF Uncontrolled | 10-07-2013 | Drilling 071 PDF Uncontrolled
071.PD025 - Handling the riser spider and gimbal-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD025 - Handling the riser spider and gimbal-nc.pdf | Drilling 071 PDF Uncontrolled | 10-07-2013 | Drilling 071 PDF Uncontrolled
071.PD026 - Hang off & skid tripsaver-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD026 - Hang off & skid tripsaver-nc.pdf | Drilling 071 PDF Uncontrolled | 10-07-2013 | Drilling 071 PDF Uncontrolled
071.PD027 - Hanging off drill string on BOP rams-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD027 - Hanging off drill string on BOP rams-nc.pdf | Drilling 071 PDF Uncontrolled | 10-07-2013 | Drilling 071 PDF Uncontrolled
071.PD028 - Hanging riser pup joiny and fill up valve-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD028 - Hanging riser pup joiny and fill up valve-nc.pdf | Drilling 071 PDF Uncontrolled | 10-07-2013 | Drilling 071 PDF Uncontrolled
071.PD029 - Hanging wire line sheave in derrick-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD029 - Hanging wire line sheave in derrick-nc.pdf | Drilling 071 PDF Uncontrolled | 10-07-2013 | Drilling 071 PDF Uncontrolled
071.PD030 - HRN - Stabbing connections R.01 (20-Nov-15).pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD030 - HRN - Stabbing connections R.01 (20-Nov-15).pdf | Drilling 071 PDF Uncontrolled | 23-01-2016 | Drilling 071 PDF Uncontrolled
071.PD031 - Installing drape hoses on slip joint-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD031 - Installing drape hoses on slip joint-nc.pdf | Drilling 071 PDF Uncontrolled | 10-07-2013 | Drilling 071 PDF Uncontrolled
071.PD032 - Installing goosenecks in moonpool-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD032 - Installing goosenecks in moonpool-nc.pdf | Drilling 071 PDF Uncontrolled | 10-07-2013 | Drilling 071 PDF Uncontrolled
071.PD033 - Installing mux cables and hoses into mux clamps-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD033 - Installing mux cables and hoses into mux clamps-nc.pdf | Drilling 071 PDF Uncontrolled | 10-07-2013 | Drilling 071 PDF Uncontrolled
071.PD034 - Jetting 36 conductor and drill ahead 26 in hole section-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD034 - Jetting 36 conductor and drill ahead 26 in hole section-nc.pdf | Drilling 071 PDF Uncontrolled | 10-07-2013 | Drilling 071 PDF Uncontrolled
071.PD035 - Land out BOP on well head-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD035 - Land out BOP on well head-nc.pdf | Drilling 071 PDF Uncontrolled | 10-07-2013 | Drilling 071 PDF Uncontrolled
071.PD036 - Lay down BHA in mouse hole -nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD036 - Lay down BHA in mouse hole -nc.pdf | Drilling 071 PDF Uncontrolled | 10-07-2013 | Drilling 071 PDF Uncontrolled
071.PD037 - Lay down tubular from well centre R.01 (20-Nov-15).pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD037 - Lay down tubular from well centre R.01 (20-Nov-15).pdf | Drilling 071 PDF Uncontrolled | 23-01-2016 | Drilling 071 PDF Uncontrolled
071.PD038 - Laying down range III drill pipe from mouse hole-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD038 - Laying down range III drill pipe from mouse hole-nc.pdf | Drilling 071 PDF Uncontrolled | 10-07-2013 | Drilling 071 PDF Uncontrolled
071.PD039 - Mousehole (removing rabbit - replace shear bolts)-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD039 - Mousehole (removing rabbit - replace shear bolts)-nc.pdf | Drilling 071 PDF Uncontrolled | 10-07-2013 | Drilling 071 PDF Uncontrolled
071.PD040 - Moving vessel with BOP suspended-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD040 - Moving vessel with BOP suspended-nc.pdf | Drilling 071 PDF Uncontrolled | 10-07-2013 | Drilling 071 PDF Uncontrolled
071.PD041 - Mud & liquid transfers R.02 (20-Nov-15).pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD041 - Mud & liquid transfers R.02 (20-Nov-15).pdf | Drilling 071 PDF Uncontrolled | 23-01-2016 | Drilling 071 PDF Uncontrolled
071.PD042 - Pick up and run large bore casing with offline equipment-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD042 - Pick up and run large bore casing with offline equipment-nc.pdf | Drilling 071 PDF Uncontrolled | 10-07-2013 | Drilling 071 PDF Uncontrolled
071.PD043 - Pick up drill pipe on the rig floor (off-line)-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Drilling 071 PDF Uncontrolled\071.PD043 - Pick up drill pipe on the rig floor (off-line)-nc.pdf | Drilling 071 PDF Uncontrolled | 10-07-2013 | Drilling 071 PDF Uncontrolled
