Codigo | Nombre | Path | Padre | Fecha | Raiz
071.PD019 - Perforación de la etapa de 36” correr y cementar Conductor de 30”-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD019 - Perforación de la etapa de 36” correr y cementar Conductor de 30”-nc.pdf | Perforacion 071 PDF No cont | 10-07-2013 | Perforacion 071 PDF No cont
071.PD020 - Conexión de perforación con tramo corto de Tubería-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD020 - Conexión de perforación con tramo corto de Tubería-nc.pdf | Perforacion 071 PDF No cont | 10-07-2013 | Perforacion 071 PDF No cont
071.PD021 - Perforación de etapa de 42” correr y cementar Conductor de 36”-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD021 - Perforación de etapa de 42” correr y cementar Conductor de 36”-nc.pdf | Perforacion 071 PDF No cont | 10-07-2013 | Perforacion 071 PDF No cont
071.PD022 - Desconexión de emergencia del LMRP-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD022 - Desconexión de emergencia del LMRP-nc.pdf | Perforacion 071 PDF No cont | 10-07-2013 | Perforacion 071 PDF No cont
071.PD023 - Llenado de tanque de viaje-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD023 - Llenado de tanque de viaje-nc.pdf | Perforacion 071 PDF No cont | 10-07-2013 | Perforacion 071 PDF No cont
071.PD024 - Lavado de líneas de estrangular y matar-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD024 - Lavado de líneas de estrangular y matar-nc.pdf | Perforacion 071 PDF No cont | 10-07-2013 | Perforacion 071 PDF No cont
071.PD025 - Manejo la araña para Riser y Gimbal-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD025 - Manejo la araña para Riser y Gimbal-nc.pdf | Perforacion 071 PDF No cont | 10-07-2013 | Perforacion 071 PDF No cont
071.PD026 - Sistema de suspensión y deslizado del Trip Saver-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD026 - Sistema de suspensión y deslizado del Trip Saver-nc.pdf | Perforacion 071 PDF No cont | 10-07-2013 | Perforacion 071 PDF No cont
071.PD027 - Colgado de Sarta de Perforación en los BOP’s-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD027 - Colgado de Sarta de Perforación en los BOP’s-nc.pdf | Perforacion 071 PDF No cont | 10-07-2013 | Perforacion 071 PDF No cont
071.PD028 - Manejo de tramos cortos de Riser y de la válvula de llenado-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD028 - Manejo de tramos cortos de Riser y de la válvula de llenado-nc.pdf | Perforacion 071 PDF No cont | 10-07-2013 | Perforacion 071 PDF No cont
071.PD029 - Colgado de la Polea de Cable para Registros en la Torre-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD029 - Colgado de la Polea de Cable para Registros en la Torre-nc.pdf | Perforacion 071 PDF No cont | 10-07-2013 | Perforacion 071 PDF No cont
071.PD030 - Conexion de Tuberia con HRN R.01 (20-Nov-15).pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD030 - Conexion de Tuberia con HRN R.01 (20-Nov-15).pdf | Perforacion 071 PDF No cont | 23-01-2016 | Perforacion 071 PDF No cont
071.PD031 - Instalación de mangueras en Junta Telescópica-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD031 - Instalación de mangueras en Junta Telescópica-nc.pdf | Perforacion 071 PDF No cont | 10-07-2013 | Perforacion 071 PDF No cont
071.PD032 - Instalación de cuellos de ganso en Contrapozo-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD032 - Instalación de cuellos de ganso en Contrapozo-nc.pdf | Perforacion 071 PDF No cont | 10-07-2013 | Perforacion 071 PDF No cont
071.PD033 - Instalación de cables y mangueras de control “Mux” dentro de abrazaderas “Mux”-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD033 - Instalación de cables y mangueras de control “Mux” dentro de abrazaderas “Mux”-nc.pdf | Perforacion 071 PDF No cont | 10-07-2013 | Perforacion 071 PDF No cont
071.PD034 - Jeteo de conductor de 36” y seguir perforación de la etapa de 26”-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD034 - Jeteo de conductor de 36” y seguir perforación de la etapa de 26”-nc.pdf | Perforacion 071 PDF No cont | 10-07-2013 | Perforacion 071 PDF No cont
071.PD035 - Acoplamiento de Preventores al cabezal del pozo-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD035 - Acoplamiento de Preventores al cabezal del pozo-nc.pdf | Perforacion 071 PDF No cont | 10-07-2013 | Perforacion 071 PDF No cont
071.PD036 - Quebrar BHA en el Agujero de Ratón-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD036 - Quebrar BHA en el Agujero de Ratón-nc.pdf | Perforacion 071 PDF No cont | 10-07-2013 | Perforacion 071 PDF No cont
071.PD037 - Quebrar tuberia desde centro del pozo R.01 (20-Nov-15).pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD037 - Quebrar tuberia desde centro del pozo R.01 (20-Nov-15).pdf | Perforacion 071 PDF No cont | 23-01-2016 | Perforacion 071 PDF No cont
071.PD038 - Quebrar Tubería de Rango III desde el Agujero de ratón-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD038 - Quebrar Tubería de Rango III desde el Agujero de ratón-nc.pdf | Perforacion 071 PDF No cont | 10-07-2013 | Perforacion 071 PDF No cont
071.PD039 - Agujero de Ratón-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD039 - Agujero de Ratón-nc.pdf | Perforacion 071 PDF No cont | 10-07-2013 | Perforacion 071 PDF No cont
071.PD040 - Traslado de la plataforma con los BOPs Suspendidos-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD040 - Traslado de la plataforma con los BOPs Suspendidos-nc.pdf | Perforacion 071 PDF No cont | 10-07-2013 | Perforacion 071 PDF No cont
071.PD041 - Transferencia de Lodo y Liquidos R.02 (20-Nov-15).pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD041 - Transferencia de Lodo y Liquidos R.02 (20-Nov-15).pdf | Perforacion 071 PDF No cont | 23-01-2016 | Perforacion 071 PDF No cont
071.PD042 - Armar y Correr TR de Diámetro Grande fuera de línea-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD042 - Armar y Correr TR de Diámetro Grande fuera de línea-nc.pdf | Perforacion 071 PDF No cont | 10-07-2013 | Perforacion 071 PDF No cont
071.PD043 - Armado de Tubería rango III fuera de línea en Agujero de Ratón-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD043 - Armado de Tubería rango III fuera de línea en Agujero de Ratón-nc.pdf | Perforacion 071 PDF No cont | 10-07-2013 | Perforacion 071 PDF No cont
071.PD044 - Elevar junta telescópica - tramo final R.01 (28-Mar-15) nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD044 - Elevar junta telescópica - tramo final R.01 (28-Mar-15) nc.pdf | Perforacion 071 PDF No cont | 18-04-2015 | Perforacion 071 PDF No cont
071.PD045 - Ensamble de 4 tramos de DCs en el agujero de raton y estibarla ene el peine-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD045 - Ensamble de 4 tramos de DCs en el agujero de raton y estibarla ene el peine-nc.pdf | Perforacion 071 PDF No cont | 10-07-2013 | Perforacion 071 PDF No cont
071.PD046 - Levantar y Bajar Tuberia con la grua PDPH R.01 (20-Nov-15).pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD046 - Levantar y Bajar Tuberia con la grua PDPH R.01 (20-Nov-15).pdf | Perforacion 071 PDF No cont | 23-01-2016 | Perforacion 071 PDF No cont
071.PD047 - Levantar el Diverter y Aterrizarlo en la TFM con la grúa Liebherr-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD047 - Levantar el Diverter y Aterrizarlo en la TFM con la grúa Liebherr-nc.pdf | Perforacion 071 PDF No cont | 10-07-2013 | Perforacion 071 PDF No cont
071.PD048 - Llevar Tuberia de cubierta a centro de pozo R.01 (20-Nov-15).pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD048 - Llevar Tuberia de cubierta a centro de pozo R.01 (20-Nov-15).pdf | Perforacion 071 PDF No cont | 23-01-2016 | Perforacion 071 PDF No cont
071.PD049 - Armado de TR desde TFM y torre R.01 (20-Nov-15).pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD049 - Armado de TR desde TFM y torre R.01 (20-Nov-15).pdf | Perforacion 071 PDF No cont | 23-01-2016 | Perforacion 071 PDF No cont
071.PD050 - Cambio del Substituto protector yo dados con tubería en el pozo-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD050 - Cambio del Substituto protector yo dados con tubería en el pozo-nc.pdf | Perforacion 071 PDF No cont | 10-07-2013 | Perforacion 071 PDF No cont
071.PD051 - Cambiar el IBOP superior en el DDM-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD051 - Cambiar el IBOP superior en el DDM-nc.pdf | Perforacion 071 PDF No cont | 10-07-2013 | Perforacion 071 PDF No cont
071.PD052 - Izaje de Personal-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD052 - Izaje de Personal-nc.pdf | Perforacion 071 PDF No cont | 10-07-2013 | Perforacion 071 PDF No cont
071.PD053 - Llevar tuberia de perforacion de la TFM a centro del pozo R.01 (20-Nov-15).pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD053 - Llevar tuberia de perforacion de la TFM a centro del pozo R.01 (20-Nov-15).pdf | Perforacion 071 PDF No cont | 23-01-2016 | Perforacion 071 PDF No cont
071.PD054 - Drene de Tubería con la Chaqueta para lodo-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD054 - Drene de Tubería con la Chaqueta para lodo-nc.pdf | Perforacion 071 PDF No cont | 10-07-2013 | Perforacion 071 PDF No cont
071.PD055 - Retirar cuellos de ganso de Junta Telescópica-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD055 - Retirar cuellos de ganso de Junta Telescópica-nc.pdf | Perforacion 071 PDF No cont | 10-07-2013 | Perforacion 071 PDF No cont
071.PD056 - Armado de Lingadas de Tubería de perforación Rango II Fuera de Línea-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD056 - Armado de Lingadas de Tubería de perforación Rango II Fuera de Línea-nc.pdf | Perforacion 071 PDF No cont | 10-07-2013 | Perforacion 071 PDF No cont
071.PD057 - Armado de Lingadas de Tubería de perforación Rango III Fuera de Línea-nc.pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD057 - Armado de Lingadas de Tubería de perforación Rango III Fuera de Línea-nc.pdf | Perforacion 071 PDF No cont | 10-07-2013 | Perforacion 071 PDF No cont
071.PD058 - Sacar tuberia usando la chaqueta para lodo R.01 (20-Nov-15).pdf | \\10.10.2.2\05 - Library\5. CDR\8 - Perforacion - Drilling 071\Perforacion 071 PDF No cont\071.PD058 - Sacar tuberia usando la chaqueta para lodo R.01 (20-Nov-15).pdf | Perforacion 071 PDF No cont | 23-01-2016 | Perforacion 071 PDF No cont
